Candidate,Support,Neutral,Oppose
Samuel Klein (Sj),787,817,205
Phoebe Ayers (phoebe),693,871,245
María Sefidari (Raystorm),644,935,230
Liam Wyatt (Wittylama),573,1004,232
Michel Aaij (Drmies),533,967,309
Kat Walsh (Mindspillage),561,891,357
Jeromy-Yu Chan (Yuyu),488,1004,317
"John Vandenberg
(John Vandenberg)",499,970,340
"Leigh Ann Thelmadatter
(Thelmadatter)",382,1074,353
Tom Morton (ErrantX),302,1101,406
"Francis Kaswahili Kaguna
(Francis Kaswahili)",302,978,529
