Candidate,Support,Neutral,Oppose
notafish (Delphine Ménard),827,791,191
CristianCantoro (Cristian Consonni),579,1033,197
Aegis Maelstrom (Michał Buczyński),515,1100,194
Abbasjnr (Abbas Mahmood),429,1064,316
MikyM (Mile Kiš),335,1218,256
Smallbones,400,1068,341
ImperfectlyInformed (Ben),209,1149,451
